Training Iteration,lstmNodes,denseNodes,MSE
4,5,3,11.40608298
5,5,3,11.44738083
6,5,3,11.4189771
1,5,4,11.44242849
2,5,4,11.41486802
3,5,4,11.43742128
4,5,4,11.39099572
5,5,4,11.4267048
6,5,4,11.43514781
1,5,5,11.40061641
2,5,5,11.4186345
3,5,5,11.39040993
4,5,5,11.41689568
5,5,5,11.41687884
6,5,5,11.41599735
1,5,6,11.42487877
2,5,6,11.37191763
3,5,6,11.40385734
4,5,6,11.39682557
5,5,6,11.44204012
6,5,6,11.42640289
1,5,7,11.42714444
2,5,7,11.43227609
3,5,7,11.38627447
4,5,7,11.41090856
5,5,7,11.42753287
6,5,7,11.37821118
1,5,8,11.47702618
2,5,8,11.39423906
3,5,8,11.42148214
4,5,8,11.41336282
5,5,8,11.3827598
6,5,8,11.44086635
1,5,9,11.3903468
2,5,9,11.43837841
3,5,9,11.43747351
4,5,9,11.40643735
5,5,9,11.40702001
6,5,9,11.40443585
1,6,1,11.37296537
2,6,1,11.40551504
3,6,1,11.46135392
4,6,1,11.42014103
5,6,1,11.41860925
6,6,1,11.43679108
1,6,2,11.47457965
2,6,2,11.38686649
3,6,2,11.43556154
4,6,2,11.47151197
5,6,2,11.40662805
6,6,2,11.40189336
1,6,3,11.3806767
2,6,3,11.38035355
3,6,3,11.43746857
4,6,3,11.4340967
5,6,3,11.44518792
6,6,3,11.42468104
1,6,4,11.40990948
2,6,4,11.4193782
3,6,4,11.39778735
4,6,4,11.41183299
5,6,4,11.43428583
6,6,4,11.40503709
1,6,5,11.5092103
2,6,5,11.4001427
3,6,5,11.3908079
4,6,5,11.41221504
5,6,5,11.3772421
6,6,5,11.45675059
1,6,6,11.39975888
2,6,6,11.38966138
3,6,6,11.40142734
4,6,6,11.34893137
5,6,6,11.40295106
6,6,6,11.41058243
1,6,7,11.37881994
2,6,7,11.43603059
3,6,7,11.42338399
4,6,7,11.34079693
5,6,7,11.40232128
6,6,7,11.42211055
1,6,8,11.4207007
2,6,8,11.44742333
3,6,8,11.42159916
4,6,8,11.47387112
5,6,8,11.3850628
6,6,8,11.39114072
1,6,9,11.41209677
2,6,9,11.39689459
3,6,9,11.43311594
4,6,9,11.39928178
5,6,9,11.42076364
6,6,9,11.43002547
1,7,1,11.50837048
2,7,1,11.44283273
3,7,1,11.44009976
4,7,1,11.40352171
5,7,1,11.45158201
6,7,1,11.40945817
1,7,2,11.44564266
2,7,2,11.40969043
3,7,2,11.39667962
4,7,2,11.41835083
5,7,2,11.42436717
6,7,2,11.38946092
1,7,3,11.40172908
2,7,3,11.38265014
3,7,3,11.44061424
4,7,3,11.41751967
5,7,3,11.4063056
6,7,3,11.40314956
1,7,4,11.41635321
2,7,4,11.40761281
3,7,4,11.40360221
4,7,4,11.50108224
5,7,4,11.4177676
6,7,4,11.45066006
1,7,5,11.35986424
2,7,5,11.41305774
3,7,5,11.40930364
4,7,5,11.42953097
5,7,5,11.36238119
6,7,5,11.41109726
1,7,6,11.44255065
2,7,6,11.45920433
3,7,6,11.41109968
4,7,6,11.37645385
5,7,6,11.38304003
6,7,6,11.40345969
1,7,7,11.41056876
2,7,7,11.3979967
3,7,7,11.41523281
4,7,7,11.40778618
5,7,7,11.40165474
6,7,7,11.35867696
1,7,8,11.40602316
2,7,8,11.38996819
3,7,8,11.39914381
4,7,8,11.32010171
5,7,8,11.43402023
6,7,8,11.43922909
1,7,9,11.43486078
2,7,9,11.41079001
3,7,9,11.43820103
4,7,9,11.42988791
5,7,9,11.37118224
6,7,9,11.39277266
1,8,1,11.37561133
2,8,1,11.40401088
3,8,1,11.34811993
4,8,1,11.43555016
5,8,1,11.43965012
6,8,1,11.44134087
1,8,2,11.41492141
2,8,2,11.41304794
3,8,2,11.39639686
4,8,2,11.41217364
5,8,2,11.43429587
6,8,2,11.43814118
1,8,3,11.409423
2,8,3,11.40500409
3,8,3,11.36017943
4,8,3,11.42044867
5,8,3,11.40351253
6,8,3,11.44149178
1,8,4,11.35642563
2,8,4,11.40494484
3,8,4,11.41301936
4,8,4,11.42830573
5,8,4,11.47747317
6,8,4,11.40818595
1,8,5,11.43470856
2,8,5,11.37457705
3,8,5,11.37271476
4,8,5,11.36702784
5,8,5,11.44598584
6,8,5,11.40919333
1,8,6,11.38110596
2,8,6,11.3908066
3,8,6,11.33599185
4,8,6,11.44117876
5,8,6,11.46212465
6,8,6,11.44155946
1,8,7,11.41980338
2,8,7,11.36697744
3,8,7,11.39068632
4,8,7,11.43322762
5,8,7,11.42046709
6,8,7,11.43588316
1,8,8,11.42107757
2,8,8,11.38024282
3,8,8,11.4322667
4,8,8,11.42733428
5,8,8,11.41871793
6,8,8,11.41112001
1,8,9,11.43542399
2,8,9,11.40497841
3,8,9,11.42118141
4,8,9,11.38851749
5,8,9,11.36514873
6,8,9,11.40860391
1,9,1,11.42726407
2,9,1,11.43637775
3,9,1,11.48950524
4,9,1,11.46430729
5,9,1,11.40996443
6,9,1,11.45696004
1,9,2,11.40414841
2,9,2,11.4490743
3,9,2,11.43644208
4,9,2,11.39408918
5,9,2,11.44392117
6,9,2,11.42508698
1,9,3,11.41564892
2,9,3,11.40078312
3,9,3,11.42695409
4,9,3,11.44633184
5,9,3,11.48745026
6,9,3,11.41285019
1,9,4,11.40294402
2,9,4,11.4065691
